feedback_id,created_at,game_ref,player_appellation,version,event_name,channel,text,image_hint,text_emotion,text_emotion_cn,text_confidence,image_emotion,image_emotion_cn,image_confidence,fused_emotion,fused_emotion_cn,fused_confidence,intent,risk_level,need_reply,recommended_action,tags,trace
FB0001,2026-04-10 02:43:00,原神,旅行者,5.7,海灯节复刻,TapTap,移动端画面特效一多就掉帧，尤其是新地图传送点附近。,崩溃报错截图,sadness,失落,0.79,sadness,失落,0.4,sadness,失落,0.65,BUG反馈,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=失落(0.79); 图像线索=崩溃报错截图/失落(0.4); 融合结果=失落(0.65); 意图=BUG反馈; 风险=高
FB0013,2026-04-25 03:42:00,鸣潮,漂泊者,2.6,声骸双倍,NGA论坛,这次主线后半段演出很燃，角色的选择也有说服力，想继续追。,活动奖励截图,sadness,失落,0.78,sadness,失落,0.62,sadness,失落,0.72,剧情评价,中,是,生成角色化安抚回复；归入版本反馈池,内容反馈,文本情绪=失落(0.78); 图像线索=活动奖励截图/失落(0.62); 融合结果=失落(0.72); 意图=剧情评价; 风险=中
FB0014,2026-05-07 12:26:00,星穹铁道,开拓者,3.4,模拟宇宙更新,游戏内问卷,活动小游戏挺有创意，但每日任务重复度太高。,抽卡截图,sadness,失落,0.86,sadness,失落,0.77,sadness,失落,0.83,活动体验,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=失落(0.86); 图像线索=抽卡截图/失落(0.77); 融合结果=失落(0.83); 意图=活动体验; 风险=高
FB0015,2026-05-07 09:11:00,鸣潮,漂泊者,3.3,主线间章,TapTap,活动商店兑换材料丰富，肝度控制得不错。,抽卡截图,anger,愤怒,0.67,anger,愤怒,0.84,anger,愤怒,0.73,活动体验,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=愤怒(0.67); 图像线索=抽卡截图/愤怒(0.84); 融合结果=愤怒(0.73); 意图=活动体验; 风险=高
FB0016,2026-05-06 01:31:00,原神,旅行者,5.7,月之歌版本,TapTap,更新后进副本会卡在加载界面，重启也不稳定，希望尽快修。,无图,disgust,反感,0.91,,,0.0,disgust,反感,0.91,BUG反馈,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,体验问题；需人工复核,文本情绪=反感(0.91); 图像线索=无图/失落(0.0); 融合结果=反感(0.91); 意图=BUG反馈; 风险=严重
FB0017,2026-05-07 11:44:00,星穹铁道,开拓者,3.4,同行任务,小红书,任务指引把我带到空气墙后面了，找了半小时都没触发。,活动奖励截图,neutral,中性,0.96,neutral,中性,0.52,neutral,中性,0.81,BUG反馈,中,是,生成角色化安抚回复；归入版本反馈池,体验问题,文本情绪=中性(0.96); 图像线索=活动奖励截图/中性(0.52); 融合结果=中性(0.81); 意图=BUG反馈; 风险=中
FB0018,2026-05-12 01:32:00,原神,旅行者,5.6,幻想境活动,B站评论,美术、音乐和角色塑造都在线，适合喜欢剧情向二游的玩家。,无图,neutral,中性,0.78,,,0.0,neutral,中性,0.78,正向安利,低,是,记录样本；进入日报统计,常规反馈,文本情绪=中性(0.78); 图像线索=无图/愤怒(0.0); 融合结果=中性(0.78); 意图=正向安利; 风险=低
FB0019,2026-04-22 09:37:00,原神,旅行者,6.0,海灯节复刻,微博超话,美术、音乐和角色塑造都在线，适合喜欢剧情向二游的玩家。,崩溃报错截图,trust,信任,0.82,neutral,中性,0.88,trust,信任,0.84,正向安利,中,是,生成角色化安抚回复；归入版本反馈池,可正向传播,文本情绪=信任(0.82); 图像线索=崩溃报错截图/中性(0.88); 融合结果=信任(0.84); 意图=正向安利; 风险=中
FB0020,2026-05-10 09:20:00,明日方舟,博士,2.5,SideStory活动,小红书,高难关卡数值有点夸张，普通玩家很难拿满奖励。,无图,trust,信任,0.94,,,0.0,trust,信任,0.94,活动体验,中,是,生成角色化安抚回复；归入版本反馈池,可正向传播,文本情绪=信任(0.94); 图像线索=无图/反感(0.0); 融合结果=信任(0.94); 意图=活动体验; 风险=中
FB0021,2026-05-01 03:56:00,原神,旅行者,5.8,深境挑战,TapTap,剧情节奏有点拖，前面铺垫太长，关键冲突反而一笔带过。,角色立绘截图,joy,喜悦,0.67,joy,喜悦,0.83,joy,喜悦,0.73,剧情评价,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.67); 图像线索=角色立绘截图/喜悦(0.83); 融合结果=喜悦(0.73); 意图=剧情评价; 风险=低
FB0022,2026-04-11 05:56:00,原神,旅行者,5.7,月之歌版本,小红书,直播承诺和实装差距太大，这种落差很伤信任。,角色立绘截图,anger,愤怒,0.79,anger,愤怒,0.47,anger,愤怒,0.68,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=愤怒(0.79); 图像线索=角色立绘截图/愤怒(0.47); 融合结果=愤怒(0.68); 意图=舆情投诉; 风险=严重
FB0023,2026-04-05 17:05:00,明日方舟,博士,2.7,剿灭委托,小红书,高难关卡数值有点夸张，普通玩家很难拿满奖励。,无图,surprise,惊讶,0.9,,,0.0,surprise,惊讶,0.9,活动体验,中,是,生成角色化安抚回复；归入版本反馈池,常规反馈,文本情绪=惊讶(0.9); 图像线索=无图/喜悦(0.0); 融合结果=惊讶(0.9); 意图=活动体验; 风险=中
FB0024,2026-04-02 04:07:00,明日方舟,博士,2.7,限定寻访,客服工单,这次礼包性价比还可以，但希望别把关键养成材料拆太碎。,战斗掉帧截图,anger,愤怒,0.92,anger,愤怒,0.83,anger,愤怒,0.89,抽卡/付费,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,商业化/补偿；需人工复核,文本情绪=愤怒(0.92); 图像线索=战斗掉帧截图/愤怒(0.83); 融合结果=愤怒(0.89); 意图=抽卡/付费; 风险=严重
FB0025,2026-05-01 21:13:00,星穹铁道,开拓者,3.3,同行任务,B站评论,限定池保底压力太大，连续歪真的心态爆炸。,公告截图,joy,喜悦,0.83,trust,信任,0.91,joy,喜悦,0.86,抽卡/付费,高,是,优先客服跟进；同步运营群；检查公告口径,商业化/补偿；需人工复核；可正向传播,文本情绪=喜悦(0.83); 图像线索=公告截图/信任(0.91); 融合结果=喜悦(0.86); 意图=抽卡/付费; 风险=高
FB0026,2026-04-29 17:50:00,鸣潮,漂泊者,2.6,海蚀遗迹活动,TapTap,武器池说明能不能写得更直白一点，概率和继承规则不够醒目。,剧情CG截图,surprise,惊讶,0.88,surprise,惊讶,0.8,surprise,惊讶,0.85,抽卡/付费,高,是,优先客服跟进；同步运营群；检查公告口径,商业化/补偿；需人工复核,文本情绪=惊讶(0.88); 图像线索=剧情CG截图/惊讶(0.8); 融合结果=惊讶(0.85); 意图=抽卡/付费; 风险=高
FB0027,2026-05-01 05:19:00,星穹铁道,开拓者,3.2,跃迁卡池,QQ群,任务指引把我带到空气墙后面了，找了半小时都没触发。,剧情CG截图,sadness,失落,0.91,sadness,失落,0.46,sadness,失落,0.75,BUG反馈,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=失落(0.91); 图像线索=剧情CG截图/失落(0.46); 融合结果=失落(0.75); 意图=BUG反馈; 风险=高
FB0028,2026-04-29 15:01:00,明日方舟,博士,2.6,集成战略,客服工单,新角色人设太戳我了，战斗动作和待机语音都很有记忆点。,战斗掉帧截图,joy,喜悦,0.95,surprise,惊讶,0.37,joy,喜悦,0.75,角色厨力,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.95); 图像线索=战斗掉帧截图/惊讶(0.37); 融合结果=喜悦(0.75); 意图=角色厨力; 风险=低
FB0029,2026-04-17 14:16:00,明日方舟,博士,2.4,剿灭委托,客服工单,希望补偿规则透明一些，哪些情况能补、补多少要提前说清楚。,剧情CG截图,joy,喜悦,0.75,joy,喜悦,0.39,joy,喜悦,0.62,福利补偿,低,否,记录样本；进入日报统计,商业化/补偿；可正向传播,文本情绪=喜悦(0.75); 图像线索=剧情CG截图/喜悦(0.39); 融合结果=喜悦(0.62); 意图=福利补偿; 风险=低
FB0030,2026-04-29 05:25:00,明日方舟,博士,2.6,剿灭委托,客服工单,新角色的个人故事很细腻，配音和BGM加分，真的有被打动。,剧情CG截图,neutral,中性,0.79,neutral,中性,0.89,neutral,中性,0.83,剧情评价,中,是,生成角色化安抚回复；归入版本反馈池,内容反馈,文本情绪=中性(0.79); 图像线索=剧情CG截图/中性(0.89); 融合结果=中性(0.83); 意图=剧情评价; 风险=中
FB0031,2026-05-08 01:50:00,明日方舟,博士,2.6,集成战略,NGA论坛,PC端帧数稳定了不少，但手机端发热还是明显。,活动奖励截图,neutral,中性,0.83,neutral,中性,0.74,neutral,中性,0.8,性能优化,低,是,记录样本；进入日报统计,体验问题,文本情绪=中性(0.83); 图像线索=活动奖励截图/中性(0.74); 融合结果=中性(0.8); 意图=性能优化; 风险=低
FB0032,2026-04-20 13:51:00,原神,旅行者,5.7,月之歌版本,小红书,皮肤很漂亮，但价格略贵，特效如果再多一点会更愿意买。,剧情CG截图,joy,喜悦,0.59,anger,愤怒,0.61,joy,喜悦,0.6,角色厨力,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.59); 图像线索=剧情CG截图/愤怒(0.61); 融合结果=喜悦(0.6); 意图=角色厨力; 风险=低
FB0033,2026-05-07 15:14:00,星穹铁道,开拓者,3.1,跃迁卡池,微博超话,更新包太大了，能不能做分包下载。,活动奖励截图,anger,愤怒,0.94,anger,愤怒,0.49,anger,愤怒,0.78,性能优化,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=愤怒(0.94); 图像线索=活动奖励截图/愤怒(0.49); 融合结果=愤怒(0.78); 意图=性能优化; 风险=高
FB0034,2026-05-14 10:27:00,原神,旅行者,5.8,角色祈愿,QQ群,客服回复很快，也帮我找回了误删邮件，感谢。,战斗掉帧截图,trust,信任,0.79,disgust,反感,0.61,trust,信任,0.73,客服求助,低,是,记录样本；进入日报统计,可正向传播,文本情绪=信任(0.79); 图像线索=战斗掉帧截图/反感(0.61); 融合结果=信任(0.73); 意图=客服求助; 风险=低
FB0035,2026-04-07 23:45:00,鸣潮,漂泊者,3.2,共鸣者唤取,QQ群,角色台词有几句重复触发太频繁，听久了有点出戏。,公告截图,joy,喜悦,0.68,anger,愤怒,0.43,joy,喜悦,0.59,角色厨力,低,是,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.68); 图像线索=公告截图/愤怒(0.43); 融合结果=喜悦(0.59); 意图=角色厨力; 风险=低
FB0036,2026-04-29 14:34:00,星穹铁道,开拓者,3.4,模拟宇宙更新,客服工单,武器池说明能不能写得更直白一点，概率和继承规则不够醒目。,崩溃报错截图,sadness,失落,0.6,sadness,失落,0.79,sadness,失落,0.67,抽卡/付费,高,是,优先客服跟进；同步运营群；检查公告口径,商业化/补偿；需人工复核,文本情绪=失落(0.6); 图像线索=崩溃报错截图/失落(0.79); 融合结果=失落(0.67); 意图=抽卡/付费; 风险=高
FB0037,2026-04-26 20:48:00,原神,旅行者,5.6,角色祈愿,游戏内问卷,客服和社区运营这次处理得很稳，值得夸。,崩溃报错截图,joy,喜悦,0.92,joy,喜悦,0.77,joy,喜悦,0.87,正向安利,中,是,生成角色化安抚回复；归入版本反馈池,可正向传播,文本情绪=喜悦(0.92); 图像线索=崩溃报错截图/喜悦(0.77); 融合结果=喜悦(0.87); 意图=正向安利; 风险=中
FB0038,2026-04-03 20:24:00,鸣潮,漂泊者,3.3,声骸双倍,QQ群,客服回复很快，也帮我找回了误删邮件，感谢。,崩溃报错截图,sadness,失落,0.84,disgust,反感,0.87,sadness,失落,0.85,客服求助,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=失落(0.84); 图像线索=崩溃报错截图/反感(0.87); 融合结果=失落(0.85); 意图=客服求助; 风险=高
FB0039,2026-05-10 18:11:00,星穹铁道,开拓者,3.4,模拟宇宙更新,TapTap,美术、音乐和角色塑造都在线，适合喜欢剧情向二游的玩家。,剧情CG截图,joy,喜悦,0.72,joy,喜悦,0.54,joy,喜悦,0.66,正向安利,低,否,记录样本；进入日报统计,可正向传播,文本情绪=喜悦(0.72); 图像线索=剧情CG截图/喜悦(0.54); 融合结果=喜悦(0.66); 意图=正向安利; 风险=低
FB0040,2026-04-05 19:22:00,明日方舟,博士,2.7,危机合约轮换,B站评论,过场动画加载变快了，体验比上个版本好。,无图,anger,愤怒,0.61,,,0.0,anger,愤怒,0.61,性能优化,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=愤怒(0.61); 图像线索=无图/喜悦(0.0); 融合结果=愤怒(0.61); 意图=性能优化; 风险=高
FB0041,2026-04-12 03:30:00,鸣潮,漂泊者,3.0,主线间章,NGA论坛,活动小游戏挺有创意，但每日任务重复度太高。,剧情CG截图,surprise,惊讶,0.79,surprise,惊讶,0.5,surprise,惊讶,0.69,活动体验,低,否,记录样本；进入日报统计,常规反馈,文本情绪=惊讶(0.79); 图像线索=剧情CG截图/惊讶(0.5); 融合结果=惊讶(0.69); 意图=活动体验; 风险=低
FB0042,2026-04-03 13:59:00,鸣潮,漂泊者,3.2,共鸣者唤取,微博超话,美术、音乐和角色塑造都在线，适合喜欢剧情向二游的玩家。,崩溃报错截图,joy,喜悦,0.84,joy,喜悦,0.76,joy,喜悦,0.81,正向安利,低,是,记录样本；进入日报统计,可正向传播,文本情绪=喜悦(0.84); 图像线索=崩溃报错截图/喜悦(0.76); 融合结果=喜悦(0.81); 意图=正向安利; 风险=低
FB0043,2026-05-07 22:42:00,原神,旅行者,5.6,深境挑战,游戏内问卷,新角色人设太戳我了，战斗动作和待机语音都很有记忆点。,公告截图,joy,喜悦,0.77,joy,喜悦,0.59,joy,喜悦,0.71,角色厨力,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.77); 图像线索=公告截图/喜悦(0.59); 融合结果=喜悦(0.71); 意图=角色厨力; 风险=低
FB0044,2026-04-16 09:46:00,原神,旅行者,5.7,角色祈愿,客服工单,过场动画加载变快了，体验比上个版本好。,活动奖励截图,sadness,失落,0.83,sadness,失落,0.82,sadness,失落,0.83,性能优化,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=失落(0.83); 图像线索=活动奖励截图/失落(0.82); 融合结果=失落(0.83); 意图=性能优化; 风险=高
FB0045,2026-05-11 00:36:00,明日方舟,博士,2.7,集成战略,NGA论坛,活动小游戏挺有创意，但每日任务重复度太高。,无图,surprise,惊讶,0.72,,,0.0,surprise,惊讶,0.72,活动体验,低,否,记录样本；进入日报统计,常规反馈,文本情绪=惊讶(0.72); 图像线索=无图/反感(0.0); 融合结果=惊讶(0.72); 意图=活动体验; 风险=低
FB0046,2026-04-25 05:56:00,鸣潮,漂泊者,3.2,声骸双倍,游戏内问卷,客服回复很快，也帮我找回了误删邮件，感谢。,无图,neutral,中性,0.91,,,0.0,neutral,中性,0.91,客服求助,中,是,生成角色化安抚回复；归入版本反馈池,常规反馈,文本情绪=中性(0.91); 图像线索=无图/担忧(0.0); 融合结果=中性(0.91); 意图=客服求助; 风险=中
FB0047,2026-05-13 06:28:00,原神,旅行者,5.7,角色祈愿,QQ群,联机活动匹配体验一般，队友掉线后没有补偿机制。,剧情CG截图,neutral,中性,0.62,neutral,中性,0.49,neutral,中性,0.57,活动体验,低,否,记录样本；进入日报统计,常规反馈,文本情绪=中性(0.62); 图像线索=剧情CG截图/中性(0.49); 融合结果=中性(0.57); 意图=活动体验; 风险=低
FB0048,2026-05-10 02:17:00,星穹铁道,开拓者,3.3,版本前瞻,游戏内问卷,直播承诺和实装差距太大，这种落差很伤信任。,剧情CG截图,anger,愤怒,0.67,anger,愤怒,0.77,anger,愤怒,0.71,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=愤怒(0.67); 图像线索=剧情CG截图/愤怒(0.77); 融合结果=愤怒(0.71); 意图=舆情投诉; 风险=严重
FB0049,2026-04-17 22:18:00,鸣潮,漂泊者,3.2,声骸双倍,微博超话,联机活动匹配体验一般，队友掉线后没有补偿机制。,无图,anger,愤怒,0.65,,,0.0,anger,愤怒,0.65,活动体验,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=愤怒(0.65); 图像线索=无图/失落(0.0); 融合结果=愤怒(0.65); 意图=活动体验; 风险=高
FB0050,2026-05-13 06:06:00,明日方舟,博士,2.6,剿灭委托,TapTap,更新后进副本会卡在加载界面，重启也不稳定，希望尽快修。,活动奖励截图,neutral,中性,0.8,neutral,中性,0.54,neutral,中性,0.71,BUG反馈,中,是,生成角色化安抚回复；归入版本反馈池,体验问题,文本情绪=中性(0.8); 图像线索=活动奖励截图/中性(0.54); 融合结果=中性(0.71); 意图=BUG反馈; 风险=中
FB0051,2026-05-13 08:04:00,原神,旅行者,5.6,月之歌版本,客服工单,角色台词有几句重复触发太频繁，听久了有点出戏。,战斗掉帧截图,trust,信任,0.84,trust,信任,0.67,trust,信任,0.78,角色厨力,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=信任(0.84); 图像线索=战斗掉帧截图/信任(0.67); 融合结果=信任(0.78); 意图=角色厨力; 风险=低
FB0052,2026-05-15 23:24:00,原神,旅行者,6.0,深境挑战,NGA论坛,活动小游戏挺有创意，但每日任务重复度太高。,崩溃报错截图,sadness,失落,0.75,sadness,失落,0.7,sadness,失落,0.73,活动体验,中,是,生成角色化安抚回复；归入版本反馈池,常规反馈,文本情绪=失落(0.75); 图像线索=崩溃报错截图/失落(0.7); 融合结果=失落(0.73); 意图=活动体验; 风险=中
FB0053,2026-04-16 04:35:00,鸣潮,漂泊者,3.0,潮汐回响版本,NGA论坛,高难关卡数值有点夸张，普通玩家很难拿满奖励。,活动奖励截图,joy,喜悦,0.58,disgust,反感,0.52,joy,喜悦,0.56,活动体验,低,否,记录样本；进入日报统计,可正向传播,文本情绪=喜悦(0.58); 图像线索=活动奖励截图/反感(0.52); 融合结果=喜悦(0.56); 意图=活动体验; 风险=低
FB0054,2026-05-07 15:07:00,明日方舟,博士,2.6,限定寻访,NGA论坛,提交工单三天还没回复，活动都快结束了。,角色立绘截图,sadness,失落,0.83,anger,愤怒,0.38,sadness,失落,0.67,客服求助,中,是,生成角色化安抚回复；归入版本反馈池,常规反馈,文本情绪=失落(0.83); 图像线索=角色立绘截图/愤怒(0.38); 融合结果=失落(0.67); 意图=客服求助; 风险=中
FB0055,2026-04-27 07:44:00,明日方舟,博士,2.4,SideStory活动,QQ群,这版本福利和内容量都挺足，回坑体验不错。,活动奖励截图,joy,喜悦,0.68,joy,喜悦,0.69,joy,喜悦,0.68,正向安利,低,否,记录样本；进入日报统计,可正向传播,文本情绪=喜悦(0.68); 图像线索=活动奖励截图/喜悦(0.69); 融合结果=喜悦(0.68); 意图=正向安利; 风险=低
FB0056,2026-04-04 19:48:00,明日方舟,博士,2.4,限定寻访,小红书,更新后进副本会卡在加载界面，重启也不稳定，希望尽快修。,活动奖励截图,sadness,失落,0.76,sadness,失落,0.92,sadness,失落,0.82,BUG反馈,高,是,优先客服跟进；同步运营群；检查公告口径,体验问题；需人工复核,文本情绪=失落(0.76); 图像线索=活动奖励截图/失落(0.92); 融合结果=失落(0.82); 意图=BUG反馈; 风险=高
FB0057,2026-04-29 19:20:00,星穹铁道,开拓者,3.3,版本前瞻,客服工单,提交工单三天还没回复，活动都快结束了。,公告截图,neutral,中性,0.91,neutral,中性,0.63,neutral,中性,0.81,客服求助,低,是,记录样本；进入日报统计,常规反馈,文本情绪=中性(0.91); 图像线索=公告截图/中性(0.63); 融合结果=中性(0.81); 意图=客服求助; 风险=低
FB0058,2026-04-22 21:20:00,星穹铁道,开拓者,3.1,版本前瞻,游戏内问卷,公告说法太模糊，社区都吵起来了，建议尽快补充解释。,无图,anger,愤怒,0.87,,,0.0,anger,愤怒,0.87,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=愤怒(0.87); 图像线索=无图/反感(0.0); 融合结果=愤怒(0.87); 意图=舆情投诉; 风险=严重
FB0059,2026-05-09 02:48:00,星穹铁道,开拓者,3.3,活动商店,QQ群,今天打活动关突然闪退两次，体力扣了但奖励没结算。,战斗掉帧截图,anger,愤怒,0.68,disgust,反感,0.85,disgust,反感,0.74,BUG反馈,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,体验问题；需人工复核,文本情绪=愤怒(0.68); 图像线索=战斗掉帧截图/反感(0.85); 融合结果=反感(0.74); 意图=BUG反馈; 风险=严重
FB0060,2026-04-27 21:35:00,星穹铁道,开拓者,3.2,活动商店,TapTap,这次主线后半段演出很燃，角色的选择也有说服力，想继续追。,剧情CG截图,joy,喜悦,0.74,anger,愤怒,0.61,joy,喜悦,0.69,剧情评价,低,是,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.74); 图像线索=剧情CG截图/愤怒(0.61); 融合结果=喜悦(0.69); 意图=剧情评价; 风险=低
FB0061,2026-05-12 13:30:00,鸣潮,漂泊者,3.2,主线间章,客服工单,账号异常登录提醒不够明显，希望能增加二次确认。,崩溃报错截图,anger,愤怒,0.79,anger,愤怒,0.69,anger,愤怒,0.76,客服求助,高,是,优先客服跟进；同步运营群；检查公告口径,需人工复核,文本情绪=愤怒(0.79); 图像线索=崩溃报错截图/愤怒(0.69); 融合结果=愤怒(0.76); 意图=客服求助; 风险=高
FB0062,2026-04-25 12:46:00,原神,旅行者,5.8,幻想境活动,B站评论,角色台词有几句重复触发太频繁，听久了有点出戏。,活动奖励截图,joy,喜悦,0.8,disgust,反感,0.66,joy,喜悦,0.75,角色厨力,低,否,记录样本；进入日报统计,内容反馈；可正向传播,文本情绪=喜悦(0.8); 图像线索=活动奖励截图/反感(0.66); 融合结果=喜悦(0.75); 意图=角色厨力; 风险=低
FB0063,2026-04-21 18:36:00,明日方舟,博士,2.6,SideStory活动,NGA论坛,希望官方正面回应争议点，不要只发模板话术。,崩溃报错截图,anger,愤怒,0.91,anger,愤怒,0.77,anger,愤怒,0.86,舆情投诉,严重,是,立即人工复核；升级舆情预警；准备补充公告/补偿评估,需人工复核,文本情绪=愤怒(0.91); 图像线索=崩溃报错截图/愤怒(0.77); 融合结果=愤怒(0.86); 意图=舆情投诉; 风险=严重
